codigo,detalle
P02100090155,"PLACA DESGASTE CG-17  (PROY 22)"
P02100090156,"PLACA DESGASTE CG-18  (PROY 22)"
P02100090157,"PLACA DESGASTE CG-19  (PROY 22)"
P02100090158,"PLACA DESGASTE CG-20  (PROY 22)"
P02100090159,"PLACA DESGASTE CG-21  (PROY 22)"
P02100090160,"PLACA DESGASTE CG-22  (PROY 22)"
P02100090161,"PLACA DESGASTE CG-23  (PROY 22)"
P02100090162,"PLACA DESGASTE CG-24  (PROY 22)"
P02100090163,"PLACA DESGASTE CG-25  (PROY 22)"
P02100090164,"PLACA DESGASTE CG-26  (PROY 22)"
P02100090165,"PLACA DESGASTE CG-27  (PROY 22)"
P02100090166,"PLACA DESGASTE CG-28  (PROY 22)"
P02100090167,"PLACA DESGASTE CG-29  (PROY 22)"
P02100090168,"PLACA DESGASTE CG-30  (PROY 22)"
P02100090169,"PLACA DESGASTE CG-31  (PROY 22)"
P02100090170,"PLACA DESGASTE CG-32  (PROY 22)"
P02100090171,"PLACA DESGASTE CG-33  (PROY 22)"
P02100090172,"PLACA DESGASTE CG-34  (PROY 22)"
P02100090173,"PLACA DESGASTE CG-35  (PROY 22)"
P02100090174,"PLACA DESGASTE CG-36  (PROY 22)"
P02100090175,"PLACA DESGASTE CG-37  (PROY 22)"
P02100090176,"PLACA DESGASTE CG-38  (PROY 22)"
P02100090177,"PLACA DESGASTE CG-39  (PROY 22)"
P02100090178,"PLACA DESGASTE CG-40  (PROY 22)"
P02100090179,"PLACA DESGASTE CG-41  (PROY 22)"
P02100090180,"PLACA DESGASTE CG-42  (PROY 22)"
P02100090181,"PLACA DESGASTE CG-43  (PROY 22)"
P02100090182,"PLACA DESGASTE CG-44  (PROY 22)"
P02100090183,"PLACA DESGASTE CG-45  (PROY 22)"
P02100090184,"PLACA DESGASTE CG-46  (PROY 22)"
P02100090185,"PLACA DESGASTE CG-47  (PROY 22)"
P02100090186,"PLACA DESGASTE CG-48  (PROY 22)"
P02100090187,"PLACA DESGASTE CG-49  (PROY 22)"
P02100090188,"PLACA DESGASTE CG-50  (PROY 22)"
P02100090189,"PLACA REVESTIMIENTO CG-01 MO (PROY 22)"
P02100090190,"PLACA REVESTIMIENTO CG-01 OP (PROY 22)"
P02100090191,"PLACA REVESTIMIENTO CG-02 MO (PROY 22)"
P02100090192,"PLACA REVESTIMIENTO CG-02 OP (PROY 22)"
P02100090193,"PLACA REVESTIMIENTO CG-03 MO (PROY 22)"
P02100090194,"PLACA REVESTIMIENTO CG-03 OP (PROY 22)"
P02100090195,"PLACA REVESTIMIENTO CG-04 MO (PROY 22)"
P02100090196,"PLACA REVESTIMIENTO CG-04 OP (PROY 22)"
P02100090197,"PLACA REVESTIMIENTO CG-05 MO (PROY 22)"
P02100090198,"PLACA REVESTIMIENTO CG-05 OP (PROY 22)"
P02100090199,"PLACA REVESTIMIENTO CG-06 MO (PROY 22)"
P02100090200,"PLACA REVESTIMIENTO CG-06 OP (PROY 22)"
P02100090201,"PLACA REVESTIMIENTO CG-07 MO (PROY 22)"
P02100090202,"PLACA REVESTIMIENTO CG-07 OP (PROY 22)"
P02100090203,"PLACA REVESTIMIENTO CG-08 MO (PROY 22)"
P02100090204,"PLACA REVESTIMIENTO CG-08 OP (PROY 22)"
P02100090205,"PLACA REVESTIMIENTO CG-09 MO (PROY 22)"
P02100090206,"PLACA REVESTIMIENTO CG-09 OP (PROY 22)"
P02100090207,"PLACA REVESTIMIENTO CG-10 MO (PROY 22)"
P02100090208,"PLACA REVESTIMIENTO CG-10 OP (PROY 22)"
P02100090209,"PLACA REVESTIMIENTO CG-11 MO (PROY 22)"
P02100090210,"PLACA REVESTIMIENTO CG-11 OP (PROY 22)"
P02100090211,"PLACA REVESTIMIENTO CG-12 MO (PROY 22)"
P02100090212,"PLACA REVESTIMIENTO CG-12 OP (PROY 22)"
P02100090213,"PLACA REVESTIMIENTO CG-13 MO (PROY 22)"
P02100090214,"PLACA REVESTIMIENTO CG-13 OP (PROY 22)"
P02100090215,"PLACA REVESTIMIENTO CG-14 MO (PROY 22)"
P02100090216,"PLACA REVESTIMIENTO CG-14 OP (PROY 22)"
P02100090217,"PLACA DESGASTE CGC-01 MO (PROY 26)"
P02100090218,"PLACA DESGASTE CGC-01 OP (PROY 26)"
P02100090219,"PLACA DESGASTE CGC-02 MO (PROY 26)"
P02100090220,"PLACA DESGASTE CGC-02 OP (PROY 26)"
P02100090221,"PLACA DESGASTE CGC-03 MO (PROY 26)"
P02100090222,"PLACA DESGASTE CGC-03 OP (PROY 26)"
P02100090223,"PLACA DESGASTE CGC-04 MO (PROY 26)"
P02100090224,"PLACA DESGASTE CGC-04 OP (PROY 26)"
P02100090225,"PLACA DESGASTE CGC-05 MO (PROY 26)"
P02100090226,"PLACA DESGASTE CGC-05 OP (PROY 26)"
P02100090227,"PLACA DESGASTE CGC-06 MO (PROY 26)"
P02100090228,"PLACA DESGASTE CGC-06 OP (PROY 26)"
P02100090229,"PLACA DESGASTE CGC-07 MO (PROY 26)"
P02100090230,"PLACA DESGASTE CGC-07 OP (PROY 26)"
P02100090231,"PLACA DESGASTE CGC-08 MO (PROY 26)"
P02100090232,"PLACA DESGASTE CGC-08 OP (PROY 26)"
P02100090233,"PLACA DESGASTE CGC-09 MO (PROY 26)"
P02100090234,"PLACA DESGASTE CGC-09 OP (PROY 26)"
P02100090235,"PLACA DESGASTE CGC-10 MO (PROY 26)"
P02100090236,"PLACA DESGASTE CGC-10 OP (PROY 26)"
P02100090237,"PLACA DESGASTE CGC-11 MO (PROY 26)"
P02100090238,"PLACA DESGASTE CGC-11 OP (PROY 26)"
P02100090239,"PLACA DESGASTE CGC-12 MO (PROY 26)"
P02100090240,"PLACA DESGASTE CGC-12 OP (PROY 26)"
P02100090241,"PLACA DESGASTE CGC-13 MO (PROY 26)"
P02100090242,"PLACA DESGASTE CGC-13 OP (PROY 26)"
P02100090243,"PLACA DESGASTE CGC-14 MO (PROY 26)"
P02100090244,"PLACA DESGASTE CGC-14 OP (PROY 26)"
