"idmaterial","u_medida","f_aprov","leadtime","precio","abc","tipo","especificacion","idproducto","estado","detalle","caracteristica","stock","codigo"
125,"","",0,0,"","I",4,150,"fin","GRATA 3"" TRENZA GRUESA",99,0,"I04000099063"
126,"","",0,0,"","I",4,151,"fin","INOCULANTE",99,0,"I04000099064"
127,"","",0,0,"","I",4,152,"fin","LIJA",99,0,"I04000099065"
128,"","",0,0,"","I",4,153,"fin","LINGOTE PARA NODULAR",99,0,"I04000099066"
129,"","",0,0,"","I",4,154,"fin","MANGA 150X195 F",99,0,"I04000099067"
130,"","",0,0,"","I",4,155,"fin","MANGA CIL 100 XPH",99,0,"I04000099068"
131,"","",0,0,"","I",4,156,"fin","MANGA CIL 110 H150",99,0,"I04000099069"
132,"","",0,0,"","I",4,157,"fin","MANGA CIL 110 H160",99,0,"I04000099070"
133,"","",0,0,"","I",4,158,"fin","MANGA CIL 120",99,0,"I04000099071"
134,"","",0,0,"","I",4,159,"fin","MANGA CIL 180 H250",99,0,"I04000099072"
135,"","",0,0,"","I",4,160,"fin","MANGA CIL 230 F",99,0,"I04000099073"
136,"","",0,0,"","I",4,161,"fin","MANGA CIL 230 H300",99,0,"I04000099074"
137,"","",0,0,"","I",4,162,"fin","MANGA CIL 250",99,0,"I04000099075"
138,"","",0,0,"","I",4,163,"fin","MANGA CIL 250 H250",99,0,"I04000099076"
139,"","",0,0,"","I",4,164,"fin","MANGA CIL 250 H250 F",99,0,"I04000099077"
140,"","",0,0,"","I",4,165,"fin","MANGA CIL 250 H350 F",99,0,"I04000099078"
141,"","",0,0,"","I",4,166,"fin","MANGA CIL 250 H400 F",99,0,"I04000099079"
142,"","",0,0,"","I",4,167,"fin","MANGA CIL 280 H340",99,0,"I04000099080"
143,"","",0,0,"","I",4,168,"fin","MANGA CIL 300",99,0,"I04000099081"
144,"","",0,0,"","I",4,169,"fin","MANGA CIL 300 H360",99,0,"I04000099082"
145,"","",0,0,"","I",4,170,"fin","MANGA CIL 360",99,0,"I04000099083"
146,"","",0,0,"","I",4,171,"fin","MANGA CIL 80",99,0,"I04000099084"
147,"","",0,0,"","I",4,172,"fin","MANGA CODO 150 A45",99,0,"I04000099085"
148,"","",0,0,"","I",4,173,"fin","MANGA CODO 150 A45 F",99,0,"I04000099086"
149,"","",0,0,"","I",4,174,"fin","MANGA CODO 180 SUPLE 100 A45",99,0,"I04000099087"
150,"","",0,0,"","I",4,175,"fin","MANGA CODO 200 A45",99,0,"I04000099088"
151,"","",0,0,"","I",4,176,"fin","MANGA CODO 200 SUPLE 100 A45",99,0,"I04000099089"
152,"","",0,0,"","I",4,177,"fin","MANGA CODO 250 A45 F",99,0,"I04000099090"
153,"","",0,0,"","I",4,178,"fin","MANGA KALPUR ST 2X6 F",99,0,"I04000099091"
154,"","",0,0,"","I",4,179,"fin","MANGA KALPUR ST 3X6 F",99,0,"I04000099092"
155,"","",0,0,"","I",4,180,"fin","MANGA KALPUR ST 4X7 F",99,0,"I04000099093"
156,"","",0,0,"","I",4,181,"fin","MANGA KALPUR ST 5X8 F",99,0,"I04000099094"
157,"","",0,0,"","I",4,182,"fin","MANGA KALPUR ST 6X9 F",99,0,"I04000099095"
158,"","",0,0,"","I",4,183,"fin","MANGA KAPEX SE 6 F",99,0,"I04000099096"
159,"","",0,0,"","I",4,184,"fin","MANGA ND 100",99,0,"I04000099097"
160,"","",0,0,"","I",4,185,"fin","MANGA ND 100 NES",99,0,"I04000099098"
161,"","",0,0,"","I",4,186,"fin","MANGA ND 110",99,0,"I04000099099"
162,"","",0,0,"","M",1,187,"fin","MODELO INSERTO P01020840033",40,0,"M01020840033"
163,"","",0,0,"","M",1,188,"fin","MODELO PLACA CURVA CON BISEL A3002",60,0,"M01020860001"
164,"","",0,0,"","M",1,189,"fin","MODELO PLACA DESGASTE B1001",60,0,"M01020860042"
165,"","",0,0,"","M",3,190,"fin","CATALIZADOR H 20",99,0,"M03000099001"
166,"","",0,0,"","M",3,191,"fin","PINTURA ZIRCONIO",99,0,"M03000099002"
167,"","",0,0,"","M",3,192,"fin","RESINA",99,0,"M03000099003"
168,"","",0,0,"","M",3,193,"fin","PINTURA ZIRCONIO PASTA",99,0,"M03000099004"
169,"","",0,0,"","M",3,194,"fin","AGUA DESTILADA ",99,0,"M03000099006"
170,"","",0,0,"","M",3,195,"fin","ALCOHOL",99,0,"M03000099005"
171,"","",0,0,"","M",4,196,"fin","ALUMINIO ESTRELLA ",99,0,"M04000099001"
172,"","",0,0,"","M",4,197,"fin","FE CR BC",99,0,"M04000099002"
173,"","",0,0,"","M",4,198,"fin","FE MN MC ",99,0,"M04000099003"
174,"","",0,0,"","M",4,199,"fin","FE MN STD AC",99,0,"M04000099004"
175,"","",0,0,"","M",4,200,"fin","FE MO ",99,0,"M04000099005"
176,"","",0,0,"","M",4,201,"fin","FE REDONDO LISO 3/4""",99,0,"M04000099006"
177,"","",0,0,"","M",4,202,"fin","FE SI 75 % (COLPA) ",99,0,"M04000099007"
178,"","",0,0,"","M",4,203,"fin","FE SI CA (SICA)",99,0,"M04000099008"
179,"","",0,0,"","M",4,204,"fin","FE SI MG (NODULIZANTE)",99,0,"M04000099009"
180,"","",0,0,"","M",4,205,"fin","GRAFITO",99,0,"M04000099010"
181,"","",0,0,"","M",5,206,"fin","ARENA CROMITA",99,0,"M05000099001"
182,"","",0,0,"","M",5,207,"fin","ARENA SILICE",99,0,"M05000099002"
183,"","",0,0,"","M",5,208,"fin","ARENA ZIRCONIO",99,0,"M05000099003"
184,"","",0,0,"","O",0,0,"fin","RODAMIENTO 232226 MOD. 765",99,0,"O00000000001"
185,"","",0,0,"","O",0,0,"fin","DESCANSO RODAMIENTO 765",99,0,"O00000000002"
186,"","",0,0,"","O",0,0,"fin","CHAPA 1145",17,0,"O00000017001"
187,"","",0,0,"","O",0,0,"fin","CHAPA 1315",17,0,"O00000017002"
188,"","",0,0,"","O",0,0,"fin","CHAPA 765",17,0,"O00000017003"
189,"","",0,0,"","O",0,0,"fin","CHAPA 975",17,0,"O00000017004"
190,"","",0,0,"","O",0,0,"fin","CHAPA CON PERNO TIPO COCHE Y TUERCA",17,0,"O00000017005"
191,"","",0,0,"","O",0,0,"fin","CUBRE ACOPLAMIENTO MOD. 765",23,0,"O00000023001"
192,"","",0,0,"","O",0,0,"fin","EJE CON ACOPLAMIENTO PULVO 765",32,0,"O00000032001"
193,"","",0,0,"","O",0,0,"fin","EJE CON MACHON PULVOMATIC 975",32,0,"O00000032002"
194,"","",0,0,"","O",0,0,"fin","EJE MOTRIZ 975",32,0,"O00000032003"
195,"","",0,0,"","O",0,0,"fin","EJE PULVOMATIC 765",32,0,"O00000032004"
196,"","",0,0,"","O",0,0,"fin","EQUIPO PULVOMATIC 765",33,0,"O00000033001"
197,"","",0,0,"","O",0,0,"fin","LATA GRASA DE LITIO SKF (18 KILOS)",44,0,"O00000044001"
198,"","",0,0,"","O",0,0,"fin","PERNO CHAPA 765",57,0,"O00000057001"
199,"","",0,0,"","O",0,0,"fin","PERNO FORRO",57,0,"O00000057002"
200,"","",0,0,"","O",0,0,"fin","PERNO LABIO ",57,0,"O00000057003"
201,"","",0,0,"","O",0,0,"fin","PERNO PLACA",57,0,"O00000057004"
202,"","",0,0,"","O",0,0,"fin","PERNO PLACA 765",57,0,"O00000057005"
203,"","",0,0,"","O",0,0,"fin","PERNO ROTOR 1145",57,0,"O00000057006"
204,"","",0,0,"","O",0,0,"fin","PERNO ROTOR 1315",57,0,"O00000057007"
205,"","",0,0,"","O",0,0,"fin","PERNO ROTOR 765",57,0,"O00000057008"
206,"","",0,0,"","O",0,0,"fin","PERNO ROTOR 975",57,0,"O00000057009"
207,"","",0,0,"","O",0,0,"fin","PERNO MOLINO 3/4 X 10",57,0,"O00000057010"
208,"","",0,0,"","O",0,0,"fin","PERNO COCHE C/GOLILLA Y TUERCA ",57,0,"O00000057011"
209,"","",0,0,"","O",0,0,"fin","PERNO HEX. 3/4 X 3"" L C/TUERCA Y GOLILLA",57,0,"O00000057012"
210,"","",0,0,"","O",0,0,"fin","POLEA CONDUCIDA SIST. 765",64,0,"O00000064001"
211,"","",0,0,"","O",0,0,"fin","POLEA CONDUCIDA SIST. 975",64,0,"O00000064002"
212,"","",0,0,"","O",0,0,"fin","SISTEMA MOTRIZ PULVOMATIC 765",74,0,"O00000074001"
213,"","",0,0,"","O",0,0,"fin","SISTEMA MOTRIZ PULVOMATIC 975",74,0,"O00000074002"
214,"","",0,0,"","O",0,0,"fin","SOLDADURA BOTTTON PISTON Y PLATE",75,0,"O00000075001"
215,"","",0,0,"","O",0,0,"fin","TORNILLO ROTOR",81,0,"O00000081001"
